label	k	p_escape	guides
spectrum=short-indels	1	0.005640139785436828	UL19_36407+
spectrum=short-indels	2	3.1811176799267295e-05	UL19_36407+;UL19_37448-
spectrum=short-indels	3	1.794194838871128e-07	UL19_36407+;UL19_37448-;UL19_37908+
spectrum=short-indels	4	1.011950969354246e-09	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
spectrum=short-indels	5	5.707544923166247e-12	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_38637+
spectrum=short-indels	6	3.21913511983179e-14	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_38637+;UL19_38926+
spectrum=uniform-1to20	1	0.0026315789062500003	UL19_36407+
spectrum=uniform-1to20	2	6.925207539819939e-06	UL19_36407+;UL19_37448-
spectrum=uniform-1to20	3	1.8224230083193626e-08	UL19_36407+;UL19_37448-;UL19_37908+
spectrum=uniform-1to20	4	4.795849946957907e-11	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
spectrum=uniform-1to20	5	1.26206575579546e-13	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_38637+
spectrum=uniform-1to20	6	3.3212256212517974e-16	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_38637+;UL19_38926+
spectrum=neuronal_nhej	1	0.00182377194896739	UL19_36407+
spectrum=neuronal_nhej	2	3.3261441218403144e-06	UL19_36407+;UL19_37448-
spectrum=neuronal_nhej	3	6.066128347635142e-09	UL19_36407+;UL19_37448-;UL19_37908+
spectrum=neuronal_nhej	4	1.1063234719252874e-11	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
spectrum=neuronal_nhej	5	2.0176817145815528e-14	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+
spectrum=neuronal_nhej	6	3.679791312998264e-17	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-
inframe_fraction=0.1	1	0.002394218360970656	UL19_36407+
inframe_fraction=0.1	2	5.732281560009019e-06	UL19_36407+;UL19_37448-
inframe_fraction=0.1	3	1.3724333761227108e-08	UL19_36407+;UL19_37448-;UL19_37908+
inframe_fraction=0.1	4	3.285905188321941e-11	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
inframe_fraction=0.1	5	7.867174534289134e-14	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+
inframe_fraction=0.1	6	1.883573371895583e-16	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-
inframe_fraction=0.2	1	0.0047884367219413115	UL19_36407+
inframe_fraction=0.2	2	2.292912624003607e-05	UL19_36407+;UL19_37448-
inframe_fraction=0.2	3	1.0979467008981676e-07	UL19_36407+;UL19_37448-;UL19_37908+
inframe_fraction=0.2	4	5.257448301315102e-10	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
inframe_fraction=0.2	5	2.517495850972521e-12	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+
inframe_fraction=0.2	6	1.2054869580131715e-14	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-
inframe_fraction=0.25	1	0.0059855459024266405	UL19_36407+
inframe_fraction=0.25	2	3.582675975005635e-05	UL19_36407+;UL19_37448-
inframe_fraction=0.25	3	2.1444271501917347e-07	UL19_36407+;UL19_37448-;UL19_37908+
inframe_fraction=0.25	4	1.2835567141882577e-09	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
inframe_fraction=0.25	5	7.68278763114173e-12	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+
inframe_fraction=0.25	6	4.5985678024794444e-14	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-
inframe_fraction=0.33	1	0.007900920591203172	UL19_36407+
inframe_fraction=0.33	2	6.242454618849824e-05	UL19_36407+;UL19_37448-
inframe_fraction=0.33	3	4.932113823772189e-07	UL19_36407+;UL19_37448-;UL19_37908+
inframe_fraction=0.33	4	3.896823966839947e-09	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
inframe_fraction=0.33	5	3.078849671989975e-11	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+
inframe_fraction=0.33	6	2.4325746770644725e-13	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-
inframe_fraction=0.5	1	0.011971091804853281	UL19_36407+
inframe_fraction=0.5	2	0.0001433070390002254	UL19_36407+;UL19_37448-
inframe_fraction=0.5	3	1.7155417201533878e-06	UL19_36407+;UL19_37448-;UL19_37908+
inframe_fraction=0.5	4	2.0536907427012123e-08	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
inframe_fraction=0.5	5	2.4584920419653534e-10	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+
inframe_fraction=0.5	6	2.9430833935868444e-12	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-
repeat_model=redundant	1	0.00475423268917531	UL19_36407+
repeat_model=redundant	2	2.260272846282309e-05	UL19_36407+;UL19_37448-
repeat_model=redundant	3	1.074586305225068e-07	UL19_36407+;UL19_37448-;UL19_37908+
repeat_model=redundant	4	5.108833339641135e-10	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+
repeat_model=redundant	5	2.4288582466870552e-12	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+
repeat_model=redundant	6	1.154735727377263e-14	UL19_36407+;UL19_37448-;UL19_37908+;UL19_38322+;UL19_39276+;UL29_58709-
repeat_model=single	1	0.00475423268917531	UL19_36407+
