group	label	inframe_fraction	median_q_site	spearman_q_vs_baseline	top20_site_overlap_vs_baseline	p_escape_best_k1	p_escape_best_k2	p_escape_best_k3	p_escape_best_k4	p_escape_best_k5	p_escape_best_k6	min_k_below_0.001	min_k_below_1e-06	p_escape_amrani_pair	p_escape_baseline_best_k1	p_escape_baseline_best_k2	p_escape_baseline_best_k3	p_escape_baseline_best_k4	p_escape_baseline_best_k5	p_escape_baseline_best_k6	p_escape_baseline_best_k7	p_escape_baseline_best_k8	best_set_k1_matches_baseline	best_set_k2_matches_baseline	best_set_k3_matches_baseline	best_set_k4_matches_baseline	best_set_k5_matches_baseline	best_set_k6_matches_baseline
inframe_fraction	inframe_fraction=0.25	0.25000000000000006	0.005985546053957892	0.9999881376723001	1.0	0.0059855459024266405	3.582675975005635e-05	2.1444271501917347e-07	1.2835567141882577e-09	7.68278763114173e-12	4.5985678024794444e-14	2	3	0.0012356627841399587	0.0059855459024266405	3.582675975005635e-05	2.1444271501917347e-07	1.2835567141882577e-09	7.68278763114173e-12	4.5985678024794444e-14	2.7524938667161923e-16	1.6475178385377562e-18	True	True	True	True	True	True
inframe_fraction	inframe_fraction=0.33	0.3300000000000001	0.00790092079122442	0.9999866885329919	1.0	0.007900920591203172	6.242454618849824e-05	4.932113823772189e-07	3.896823966839947e-09	3.078849671989975e-11	2.4325746770644725e-13	2	3	0.001655545733153339	0.007900920591203172	6.242454618849824e-05	4.932113823772189e-07	3.896823966839947e-09	3.078849671989975e-11	2.4325746770644725e-13	1.9219579355658095e-15	1.518523702853824e-17	True	True	True	True	True	True
inframe_fraction	inframe_fraction=0.5	0.5000000000000001	0.011971092107915785	0.9999881376723001	1.0	0.011971091804853281	0.0001433070390002254	1.7155417201533878e-06	2.0536907427012123e-08	2.4584920419653534e-10	2.9430833935868444e-12	2	4	0.002586950707252045	0.011971091804853281	0.0001433070390002254	1.7155417201533878e-06	2.0536907427012123e-08	2.4584920419653534e-10	2.9430833935868444e-12	3.523192149396726e-14	4.217645666656656e-16	True	True	True	True	True	True
repeat_model	repeat_model=redundant	0.19857139042438315	0.004754232809534393	1.0	1.0	0.00475423268917531	2.260272846282309e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	2	3	0.0009719879026815389	0.00475423268917531	2.2602728462823098e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	5.489882342455611e-17	2.61001780922288e-19	True	True	True	True	True	True
repeat_model	repeat_model=single	0.19857139042438315	0.004754232692238931	0.9209322441734723	0.9	0.00475423268917531	2.260272846282309e-05	1.0745863052250799e-07	5.10883333964119e-10	2.4288582466870815e-12	1.1547357273772752e-14	2	3	0.0008499971265478841	0.00475423268917531	2.2602728462823098e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	5.489882342455611e-17	2.61001780922288e-19	True	True	False	False	False	False
repeat_model	repeat_model=all-copies	0.19857139042438315	0.004754232689251021	0.5249986814997042	0.0	2.260272846282358e-05	5.108833339803956e-10	1.1547357274508436e-14	5.489882342805433e-17	2.610017809389193e-19	1.2408631988727835e-21	1	2	0.000728006350414228	0.00475423268917531	2.2602728462823098e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	5.489882342455611e-17	2.61001780922288e-19	False	False	False	False	False	False
frameshift_viability_RL2	RL2_frameshift_viability=0	0.19857139042438315	0.004754232809534393	1.0	1.0	0.00475423268917531	2.260272846282309e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	2	3	0.0009719879026815389	0.00475423268917531	2.2602728462823098e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	5.489882342455611e-17	2.61001780922288e-19	True	True	True	True	True	True
frameshift_viability_RL2	RL2_frameshift_viability=0.05	0.19857139042438315	0.004754232809534393	0.9917043485411065	1.0	0.00475423268917531	2.260272846282309e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	2	3	0.0029869160177169287	0.00475423268917531	2.2602728462823098e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	5.489882342455611e-17	2.61001780922288e-19	True	True	True	True	True	True
frameshift_viability_RL2	RL2_frameshift_viability=0.25	0.19857139042438315	0.004754232809534393	0.9917043485411065	1.0	0.00475423268917531	2.260272846282309e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	2	3	0.0102186933110564	0.00475423268917531	2.2602728462823098e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	5.489882342455611e-17	2.61001780922288e-19	True	True	True	True	True	True
frameshift_viability_RL2	RL2_frameshift_viability=1	0.19857139042438315	0.004754232809534393	0.9917038388521529	1.0	0.00475423268917531	2.260272846282309e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	2	3	0.025539782034149562	0.00475423268917531	2.2602728462823098e-05	1.074586305225068e-07	5.108833339641135e-10	2.4288582466870552e-12	1.154735727377263e-14	5.489882342455611e-17	2.61001780922288e-19	True	True	True	True	True	True
